madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
88020,0,105432,0,0,,fiilden türeme fiil,0,1,,0,0,0,,,,,fiilden tureme fiil,,"[{'anlam_id': '121907', 'madde_id': '88020', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Eylemden türeme eylem', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '46', 'tur': '1', 'tam_adi': 'dil bilgisi', 'kisa_adi': 'db.', 'ekno': '95'}]}]",
88021,0,105433,0,0,,fiilden türeme isim,0,1,,0,0,0,,,,,fiilden tureme isim,,"[{'anlam_id': '121908', 'madde_id': '88021', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Eylemden türeme ad', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '46', 'tur': '1', 'tam_adi': 'dil bilgisi', 'kisa_adi': 'db.', 'ekno': '95'}]}]",
88022,0,105434,0,0,,eylemden türeme ad,0,1,,0,0,0,,,,,eylemden tureme ad,,"[{'anlam_id': '121909', 'madde_id': '88022', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Fiil köklerinden fiilden isim yapma ekleriyle türetilmiş isim, fiilden türeme isim', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '46', 'tur': '1', 'tam_adi': 'dil bilgisi', 'kisa_adi': 'db.', 'ekno': '95'}]}]",
88023,0,105435,0,0,,alev rengi,0,2,,0,0,0,,,,,alev rengi,,"[{'anlam_id': '121910', 'madde_id': '88023', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Alev kırmızısı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}, {'anlam_id': '121911', 'madde_id': '88023', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bu renkte olan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88024,0,105436,0,0,,İstiklal Marşı,0,1,,0,1,0,,,,,İstiklal Marsi,,"[{'anlam_id': '121912', 'madde_id': '88024', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': ""Mehmet Akif Ersoy'un sözlerini yazdığı, Zeki Üngör'ün bestelediği 12 Mart 1921'de Türkiye Büyük Millet Meclisi tarafından oy birliğiyle kabul edilen, Türkiye Cumhuriyeti'nin millî marşı"", 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88025,0,105437,0,0,,korumasız,0,2,,0,0,0,,,,,korumasiz,,"[{'anlam_id': '121913', 'madde_id': '88025', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Korunmayan, himayesiz', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}, {'anlam_id': '121914', 'madde_id': '88025', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Koruması olmayan', 'gos': '0'}]",
88026,0,105438,0,0,,korumalı,0,2,,0,0,0,,,,,korumali,,"[{'anlam_id': '121915', 'madde_id': '88026', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Korunan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}, {'anlam_id': '121916', 'madde_id': '88026', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Koruması olan', 'gos': '0'}]",
88027,0,105439,0,0,,yüzük kaşı,0,1,,0,0,0,,,,,yuzuk kasi,,"[{'anlam_id': '121917', 'madde_id': '88027', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yüzük üzerinde taş yerleştirmeye yarayan oyuk bölüm', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88029,0,105441,0,0,,taziyeevi,0,1,,0,0,0,,,,,taziyeevi,,"[{'anlam_id': '121919', 'madde_id': '88029', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Cenaze sahiplerine baş sağlığı dilenmesi için yapılan özel yer', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88030,0,105442,0,0,,ince ayar,0,1,,0,0,0,,,,,ince ayar,,"[{'anlam_id': '121920', 'madde_id': '88030', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '`Olayların istenilen doğrultuda gelişmesi için girişimde bulunmak` anlamında ince ayar vermek ve ince ayar çekmek deyimlerinde kullanılan bir söz', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88031,0,105443,0,0,,eğir kökü,0,1,,0,0,0,,,,,egir koku,,"[{'anlam_id': '121921', 'madde_id': '88031', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Eğir otu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '41', 'tur': '1', 'tam_adi': 'bitki bilimi', 'kisa_adi': 'bit. b.', 'ekno': '90'}]}]",
88032,0,105444,0,0,,elektrikli zil,0,1,,0,0,0,,,,,elektrikli zil,,"[{'anlam_id': '121922', 'madde_id': '88032', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Elektrik gücüyle oluşan titreşim sonucu ses veren araç, elektrik zili', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88033,0,105445,0,0,,sığınmaevi,0,1,,0,0,0,,,,,siginmaevi,,"[{'anlam_id': '121923', 'madde_id': '88033', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Korunmaya muhtaç kişilerin barındırıldıkları yer', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88034,0,105446,0,0,,kaldırım çiçeği,0,1,,0,0,0,,,,,kaldirim cicegi,,"[{'anlam_id': '121924', 'madde_id': '88034', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Hayat kadını', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88035,0,105448,0,0,,müzikevi,0,1,,0,0,0,,,,,muzikevi,,"[{'anlam_id': '121925', 'madde_id': '88035', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Çeşitli müzik türlerine ait kursların verildiği, müzik aletlerinin satıldığı yer', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88036,0,105449,0,0,,ana hatlarıyla,0,1,,0,0,0,,,,,ana hatlariyla,,"[{'anlam_id': '121926', 'madde_id': '88036', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Asıl veya en belirgin özellikleriyle', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '24', 'tur': '3', 'tam_adi': 'zarf', 'kisa_adi': 'zf.', 'ekno': '35'}]}]",
88037,0,105450,0,0,,sözcük bilimi,0,1,,0,0,0,,,,,sozcuk bilimi,,"[{'anlam_id': '121927', 'madde_id': '88037', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir dilin söz varlığını oluşturan birimleri ve bu birimlerin yapılarını ve anlamlarını, birbirleriyle ilişkilerini, zaman içinde yaşadığı değişim ve gelişmeleri araştıran dil bilimi dalı, leksikoloji', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88038,0,105451,0,0,,ananeli,0,1,,0,0,0,,,,,ananeli,,"[{'anlam_id': '121928', 'madde_id': '88038', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Ananesi olan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88039,0,105452,0,0,,salatalı,0,1,,0,0,0,,,,,salatali,,"[{'anlam_id': '121929', 'madde_id': '88039', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Salata bulunan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88040,0,105453,0,0,,salatasız,0,1,,0,0,0,,,,,salatasiz,,"[{'anlam_id': '121930', 'madde_id': '88040', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Salata bulunmayan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88041,0,105454,0,0,,üst kurul,0,1,,0,0,0,,,,,ust kurul,,"[{'anlam_id': '121931', 'madde_id': '88041', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Kendilerine bağlı kurum veya kuruluşların yaptıkları işleri denetleyen ve onaylayan üst bir birim', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88042,0,105455,0,0,,kloşet,0,1,,0,0,13,Fransızca clochette,,,,kloset,2023-07-17,"[{'anlam_id': '121932', 'madde_id': '88042', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Toplantı vb.nde katılımcıları bir araya getirmek, uyarmak, toplantıyı başlatmak amacıyla kullanılan çıngırak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88043,0,105456,0,0,,kuzu ıspanak,0,1,ğı,0,0,0,,,,,kuzu ispanak,,"[{'anlam_id': '121933', 'madde_id': '88043', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': ""Genellikle Ege Bölgesi'nde yetişen, küçük yapraklı, taze ıspanak"", 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88044,0,105457,0,0,,işkolik,0,1,,0,0,0,,,,,iskolik,,"[{'anlam_id': '121934', 'madde_id': '88044', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'İşine düşkün, işsever', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88045,0,105458,0,0,,rehabilite,0,1,,0,0,13,Fransızca réhabilite,,,,rehabilite,,"[{'anlam_id': '121935', 'madde_id': '88045', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'İyileştirme', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88046,0,105459,0,0,,saatine,0,1,,0,0,0,,saati'ne,,,saatine,,"[{'anlam_id': '121936', 'madde_id': '88046', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir saat için', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '24', 'tur': '3', 'tam_adi': 'zarf', 'kisa_adi': 'zf.', 'ekno': '35'}]}]",
88047,0,105460,0,0,,dakikasına,0,1,,0,0,0,,dakika'sına,,,dakikasina,,"[{'anlam_id': '121937', 'madde_id': '88047', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bir dakika için', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '24', 'tur': '3', 'tam_adi': 'zarf', 'kisa_adi': 'zf.', 'ekno': '35'}]}]",
88048,0,105461,0,0,,saniyesi saniyesine,0,1,,0,0,0,,,,,saniyesi saniyesine,,"[{'anlam_id': '121938', 'madde_id': '88048', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tam vaktinde', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '24', 'tur': '3', 'tam_adi': 'zarf', 'kisa_adi': 'zf.', 'ekno': '35'}]}]",
88049,0,105462,0,0,,virütik,0,1,,0,0,13,Fransızca virutique,,,,virutik,2023-06-19,"[{'anlam_id': '121939', 'madde_id': '88049', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Virüsle ilgili, virüse bağlı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88050,0,105463,0,0,,akrofobi,0,1,,0,0,18,İngilizce acrophobia,,,,akrofobi,2023-06-17,"[{'anlam_id': '121940', 'madde_id': '88050', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yükseklik korkusu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '47', 'tur': '1', 'tam_adi': 'ruh bilimi', 'kisa_adi': 'ruh b.', 'ekno': '96'}, {'ozellik_id': '85', 'tur': '1', 'tam_adi': 'tıp', 'kisa_adi': 'tıp', 'ekno': '307'}]}]",
88051,0,105465,0,0,,müzik kulağı,0,1,,0,0,0,,,,,muzik kulagi,,"[{'anlam_id': '121941', 'madde_id': '88051', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Müziğin seslerine olan duyarlılık ve yatkınlık durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88052,2,105466,0,2,,meke,0,2,,0,0,0,,,,,meke,,"[{'anlam_id': '121942', 'madde_id': '88052', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Mısır ve tanesi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}, {'anlam_id': '121943', 'madde_id': '88052', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Mısır unundan yapılan ekmek', 'gos': '0'}]",
88053,0,105467,0,0,,süperstar,0,1,,0,0,18,İngilizce superstar,,,,superstar,,"[{'anlam_id': '121944', 'madde_id': '88053', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': '343 başyıldız', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88054,0,105468,0,0,,diva,0,1,,0,0,14,İtalyanca diva,,,,diva,2023-06-18,"[{'anlam_id': '121945', 'madde_id': '88054', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Sinema, tiyatro, müzik, dans, bale vb. sanatlara emek vermiş, alanında uzmanlaşmış ve tanınmış olan kadın sanatçı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88055,0,105469,0,0,,sınıf başkanı,0,1,,0,0,0,,,,,sinif baskani,,"[{'anlam_id': '121946', 'madde_id': '88055', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Öğretmen olmadığı zamanlarda sınıfın düzenini sağlamak ve yönetim ile sınıf arasındaki iletişimi yürütmekle görevlendirilmiş öğrenci', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88056,2,105470,0,2,,çileli,0,1,,0,0,0,,,,,cileli,,"[{'anlam_id': '121947', 'madde_id': '88056', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Çilesi bulunan, çilesi olan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88057,1,105471,0,1,,çilesiz,0,1,,0,0,0,,,,,cilesiz,,"[{'anlam_id': '121948', 'madde_id': '88057', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Çilesi olmayan, sıkıntısı olmayan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88058,2,105472,0,2,,çilesiz,0,1,,0,0,0,,,,,cilesiz,,"[{'anlam_id': '121949', 'madde_id': '88058', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Çilesi bulunmayan, çilesi olmayan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88059,0,105473,0,0,,tarak kemiği,0,1,,0,0,0,,,,,tarak kemigi,,"[{'anlam_id': '121950', 'madde_id': '88059', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'El ve ayaklarda parmaklarla bilek arasında bulunan kemik', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '85', 'tur': '1', 'tam_adi': 'tıp', 'kisa_adi': 'tıp', 'ekno': '307'}]}]",
88060,0,105474,0,0,,espadril,0,1,,0,0,13,Fransızca espadrille,,,,espadril,,"[{'anlam_id': '121951', 'madde_id': '88060', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Üstü keten, tabanı ipten örme ayakkabı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88061,0,105475,0,0,,eksaserbasyon,0,1,,0,0,13,Fransızca exacerbation,,,,eksaserbasyon,,"[{'anlam_id': '121952', 'madde_id': '88061', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Alevlenme', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '85', 'tur': '1', 'tam_adi': 'tıp', 'kisa_adi': 'tıp', 'ekno': '307'}]}]",
88062,2,105476,0,0,,Hayta,0,1,,0,1,0,,,,,Hayta,,"[{'anlam_id': '121953', 'madde_id': '88062', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Toroslarda yaşayan bir Yörük aşireti', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
88063,0,105477,0,0,,Güneş ışınımı,0,1,,0,0,0,,,,,Gunes isinimi,,"[{'anlam_id': '121954', 'madde_id': '88063', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': ""Güneş'ten gelen ve uzun kızılötesi dalga boylarından, kısa morötesi dalga boylarına değin geniş bir aralığı kapsayan ışınım"", 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '58', 'tur': '1', 'tam_adi': 'fizik', 'kisa_adi': 'fiz.', 'ekno': '108'}]}]",
88064,0,105478,0,0,,ulusötesi,0,1,,0,0,0,,ulu'sötesi,,,ulusotesi,,"[{'anlam_id': '121955', 'madde_id': '88064', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Baskın ulusal kimliği olmayan, belirli devletlerin politikalarıyla kontrol edilemeyen, kurallarla kısıtlanamayan', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}]",
88065,0,105479,0,0,,kazık fren,0,1,,0,0,0,,,,,kazik fren,,"[{'anlam_id': '121956', 'madde_id': '88065', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Ani ve sert yapılan fren', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
